difficulty,target_type,condition,dist_pos_x,ans,target_idx,thisN,thisTrialN,thisRepN,Anskey.keys,Anskey.corr,Anskey.rt,Anskey.duration,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,Trials_Loop.thisRepN,Trials_Loop.thisTrialN,Trials_Loop.thisN,Trials_Loop.thisIndex,thisRow.t,notes,piloting,Intro.started,Intro.stopped,Intro_keyresp.keys,Intro_keyresp.rt,Intro_keyresp.duration,Trial_Routine.started,Anskey.started,Trial_Routine.stopped,Prac_Loop.Anskey.keys,Prac_Loop.Anskey.corr,Prac_Loop.Anskey.rt,Prac_Loop.Anskey.duration,Ready.started,Ready.stopped,Ready_keyresp.keys,Ready_keyresp.rt,Ready_keyresp.duration,Trials_Loop.Anskey.keys,Trials_Loop.Anskey.corr,Trials_Loop.Anskey.rt,Trials_Loop.Anskey.duration,ThankYou.started,ThankYou.stopped,Thanks_keyresp.keys,Thanks_keyresp.rt,Thanks_keyresp.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0077386,6.374442400003318,space,5.8705977000063285,None,,,,,,,,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
2,diamond,incong,10,l,0,0,0,0,l,1,2.257061399985105,None,0,0,0,7,,,,,6.399860100005753,,,,,,,,6.390175400010776,6.872043100011069,9.132672799983993,l,1,2.257061399985105,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
4,square,cong,10,a,5,1,1,0,a,1,1.2043313999893144,None,0,1,1,12,,,,,9.139765499974601,,,,,,,,9.134198800020386,9.6293441,10.83986210002331,a,1,1.2043313999893144,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
2,square,cong,10,a,5,2,2,0,a,1,0.8437978000147268,None,0,2,2,4,,,,,10.848125700023957,,,,,,,,10.841636000026483,11.334078899992164,12.181074699969031,a,1,0.8437978000147268,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
1,square,cong,-10,a,1,3,3,0,a,1,0.7857435999903828,None,0,3,3,0,,,,,12.18866290000733,,,,,,,,12.181941099988762,12.676828199997544,13.464000599982683,a,1,0.7857435999903828,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
4,diamond,cong,-10,l,4,4,4,0,l,1,2.5567625000257976,None,0,4,4,14,,,,,13.471649800019804,,,,,,,,13.465412200021092,13.959501300007105,16.523135799972806,l,1,2.5567625000257976,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
3,square,incong,10,a,5,5,5,0,a,1,1.3343254999490455,None,0,5,5,9,,,,,16.52941550000105,,,,,,,,16.524988399993163,17.025379200000316,18.36340500001097,a,1,1.3343254999490455,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
3,diamond,cong,10,l,1,6,6,0,a,0,2.228905300027691,None,0,6,6,10,,,,,18.37108710000757,,,,,,,,18.364746299979743,18.858653699979186,21.08994709997205,a,0,2.228905300027691,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
3,diamond,incong,-10,l,4,7,7,0,l,1,1.4381018000422046,None,0,7,7,11,,,,,21.097750600019936,,,,,,,,21.091485199984163,21.592488700000104,23.037805099971592,l,1,1.4381018000422046,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
1,diamond,incong,-10,l,5,8,8,0,l,1,0.6494451000471599,None,0,8,8,3,,,,,23.04624649998732,,,,,,,,23.038936499971896,23.53907350002555,24.195593799988274,l,1,0.6494451000471599,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
2,square,incong,-10,a,2,9,9,0,a,1,0.7485924000502564,None,0,9,9,5,,,,,24.20334060001187,,,,,,,,24.19679439999163,24.690304399991874,25.446013499982655,a,1,0.7485924000502564,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
3,square,cong,-10,a,1,10,10,0,a,1,0.7457609,None,0,10,10,8,,,,,25.454100099974312,,,,,,,,25.44734299997799,25.940734800009523,26.69497810001485,a,1,0.7457609,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
2,diamond,cong,-10,l,3,11,11,0,a,0,1.0410419999971054,None,0,11,11,6,,,,,26.70286700001452,,,,,,,,26.696190399990883,27.1913483,28.237724100006744,a,0,1.0410419999971054,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
4,diamond,incong,10,l,2,12,12,0,l,1,2.1613779,None,0,12,12,15,,,,,28.244094000023324,,,,,,,,28.23926240002038,28.73291620000964,30.90241949999472,l,1,2.1613779,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
1,diamond,cong,10,l,0,13,13,0,l,1,0.5229972000233829,None,0,13,13,2,,,,,30.91082569997525,,,,,,,,30.90357030002633,31.40166610002052,31.92826979997335,l,1,0.5229972000233829,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
4,square,incong,-10,a,1,14,14,0,a,1,0.6658460999606177,None,0,14,14,13,,,,,31.934971000009682,,,,,,,,31.929800499987323,32.42401539999992,33.093893499986734,a,1,0.6658460999606177,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
1,square,incong,10,a,3,15,15,0,a,1,0.7712533000158146,None,0,15,15,1,,,,,33.101174300012644,,,,,,,,33.09503500000574,33.58848149998812,34.36828170000808,a,1,0.7712533000158146,None,,,,,,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36843490001047,42.2841053,space,7.421777299954556,None,,,,,,,,,,p003,2026-04-14_12h22.00.699,Flanker Compatibility Task,,2026.1.1,119.16564981454972,2026-04-14 12h22.00.999747 +0800
