difficulty,target_type,condition,dist_pos_x,ans,target_idx,thisN,thisTrialN,thisRepN,Anskey.keys,Anskey.corr,Anskey.rt,Anskey.duration,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,Trials_Loop.thisRepN,Trials_Loop.thisTrialN,Trials_Loop.thisN,Trials_Loop.thisIndex,thisRow.t,notes,piloting,Intro.started,Intro.stopped,Intro_keyresp.keys,Intro_keyresp.rt,Intro_keyresp.duration,Trial_Routine.started,Anskey.started,Trial_Routine.stopped,Prac_Loop.Anskey.keys,Prac_Loop.Anskey.corr,Prac_Loop.Anskey.rt,Prac_Loop.Anskey.duration,Ready.started,Ready.stopped,Ready_keyresp.keys,Ready_keyresp.rt,Ready_keyresp.duration,Trials_Loop.Anskey.keys,Trials_Loop.Anskey.corr,Trials_Loop.Anskey.rt,Trials_Loop.Anskey.duration,ThankYou.started,ThankYou.stopped,Thanks_keyresp.keys,Thanks_keyresp.rt,Thanks_keyresp.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0081018,7.306783100008033,space,6.804189500049688,None,,,,,,,,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
4,square,cong,10,a,5,0,0,0,a,1,1.8816070000175387,None,0,0,0,12,,,,,7.329830000002403,,,,,,,,7.321435099991504,7.801729400001932,9.690553900029045,a,1,1.8816070000175387,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
4,diamond,cong,-10,l,4,1,1,0,l,1,1.680995200003963,None,0,1,1,14,,,,,9.697948599990923,,,,,,,,9.691957100003492,10.186550200043712,11.874373400001787,l,1,1.680995200003963,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
3,diamond,cong,10,l,1,2,2,0,l,1,1.4654690999886952,None,0,2,2,10,,,,,11.88069220003672,,,,,,,,11.876399600005243,12.369594099989627,13.839627400040627,l,1,1.4654690999886952,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
2,diamond,cong,-10,l,3,3,3,0,l,1,1.1477203000104055,None,0,3,3,6,,,,,13.848219100036658,,,,,,,,13.840866100043058,14.333084400044754,15.490083000040613,l,1,1.1477203000104055,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
1,diamond,incong,-10,l,5,4,4,0,l,1,0.9381646999972872,None,0,4,4,3,,,,,15.496615800017025,,,,,,,,15.491356200014707,15.991541300027166,16.931252700043842,l,1,0.9381646999972872,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
2,square,cong,10,a,5,5,5,0,a,1,0.6852347999811172,None,0,5,5,4,,,,,16.937760500004515,,,,,,,,16.932606899994425,17.430330300005153,18.122446800000034,a,1,0.6852347999811172,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
3,square,cong,-10,a,1,6,6,0,a,1,1.1320374999777414,None,0,6,6,8,,,,,18.129873000027146,,,,,,,,18.123871800024062,18.62673720001476,19.763807900017127,a,1,1.1320374999777414,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
1,square,incong,10,a,3,7,7,0,a,1,0.6897043000208214,None,0,7,7,1,,,,,19.77110830001766,,,,,,,,19.764961800014134,20.266662600042764,20.962753700034227,a,1,0.6897043000208214,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
4,diamond,incong,10,l,2,8,8,0,l,1,1.246986900048796,None,0,8,8,15,,,,,20.9707008,,,,,,,,20.96462030004477,21.464515600004233,22.716017200029455,l,1,1.246986900048796,None,,,,,,,,,,,,,,,p002,2026-04-14_12h06.01.961,Flanker Compatibility Task,,2026.1.1,119.95815858291446,2026-04-14 12h06.02.271879 +0800
